사번,작업일,쿼리(일부)
O1205727,31-MAR-17,"SELECT BASE_DATE              BASE_DATE               /*    기준_일자"
O1205727,31-MAR-17,"SELECT NVL(B.BASE_DATE,'20170322')            /*  기준_일자           */"
O1205727,31-MAR-17,"select object_name nam, Decode(object_type, 'TABLE', 1, 'VIEW', 2, 3) typ
from"
O1205727,31-MAR-17,"begin sys.dbms_application_info.set_module('TOAD background query session', null"
O1205727,31-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,31-MAR-17,"SELECT NVL(B.BASE_DATE,'20170322')            /*  기준_일자           */"
O1205727,31-MAR-17,"SELECT ppr.runid, ppr.run_proc, ppr.run_date, ppr.run_comment,   ppr.run_owner,"
O1205727,31-MAR-17,"Select CREATED, LAST_DDL_TIME, OBJECT_ID, STATUS, TIMESTAMP
FROM SYS.ALL_OBJECTS"
O1205727,31-MAR-17,"SELECT  table_name, table_owner FROM  ALL_SYNONYMS WHERE owner = 'PUBLIC' AND sy"
O1205727,31-MAR-17,"Select username from sys.ALL_USERS order by username"
O1205727,31-MAR-17,"SELECT 1
FROM   SYS.OBJ$ O, SYS.USER$ U
WHERE  0=1"
O1205727,31-MAR-17,"select sys_context('USERENV','INSTANCE_NAME') as INSTANCE_NAME,
sys_conte"
O1205727,31-MAR-17,"BEGIN   :RetVal := DBMS_UTILITY.CURRENT_INSTANCE; END;"
O1205727,31-MAR-17,"BEGIN   IF DBMS_UTILITY.IS_CLUSTER_DATABASE THEN     :RetVal := 1;   ELSE     :R"
O1205727,31-MAR-17,"Select feature from toad.toad_restrictions where user_name=USER or user_name in"
O1205727,31-MAR-17,"BEGIN
if ((QU_VERSION.major_number >= '1') and (QU_VERSION.minor_number >="
O1205727,31-MAR-17,"Select 1 FROM ALL_OBJECTS WHERE object_type = 'PACKAGE' AND object_name = 'TOAD_"
O1205727,31-MAR-17,"Select object_name
from sys.ALL_OBJECTS
where owner = 'SYS'
and   object_type ="
O1205727,31-MAR-17,"/*  실출자금 */
SELECT /*+ INDEX(A PK_CUFBBS) */"
O1205727,31-MAR-17,"begin sys.dbms_application_info.set_module('TOAD 9.6.1.1', null); end;"
O1205727,31-MAR-17,"select /*+ RULE */ TABLE_NAME from all_tab_privs where table_name like 'DBA_%' a"
O1205727,31-MAR-17,"begin :id := sys.dbms_transaction.local_transaction_id; end;"
O1205727,31-MAR-17,"select sid from V$SESSION where audsid = USERENV('SESSIONID')"
O1205727,31-MAR-17,"Select role
from session_roles
where role in ('DBA','SELECT_CATALOG_ROLE')"
O1205727,31-MAR-17,"Select Privilege
from session_privs
where privilege in ('DEBUG CONNECT SESSION',"
O1205727,31-MAR-17,"SELECT version, sysdate FROM sys.PRODUCT_COMPONENT_VERSION WHERE UPPER(PRODUCT)"
O1205727,31-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,31-MAR-17,"SELECT NVL(B.BASE_DATE,'20170322')            /*  기준_일자           */"
O1205727,31-MAR-17,"SELECT NVL(B.BASE_DATE,'20170322')            /*  기준_일자           */"
O1205727,31-MAR-17,"SELECT NVL(B.BASE_DATE,'20170322')            /*  기준_일자           */"
O1205727,31-MAR-17,"/*  실출자금 */
SELECT /*+ INDEX(A PK_CUFBBS) */"
O1205727,31-MAR-17,"SELECT /*+ INDEX(A PK_CUFUND) INDEX(B PK_CUCFOL)  */"
O1205727,31-MAR-17,"SELECT
'20170322'    BASE_DATE    /* 기준일자     */"
O1205727,31-MAR-17,"SELECT ppr.runid, ppr.run_proc, ppr.run_date, ppr.run_comment,   ppr.run_owner,"
O1205727,31-MAR-17,"select * from cud.cucppi
where 1=1
and item_c like 'F_051'
and base_date >= '201"
O1205727,31-MAR-17,"select * from cud.cucppi
where 1=1
and item_c like 'F_051'"
O1205727,31-MAR-17,"-- KRA000642173        동아쏘시오홀딩스2WR
SELECT GIJUNDT, trunc(sum(danga)/coun"
O1205727,31-MAR-17,"select object_name nam, Decode(object_type, 'TABLE', 1, 'VIEW', 2, 3) typ
from"
O1205727,31-MAR-17,"begin sys.dbms_application_info.set_module('TOAD background query session', null"
O1205727,31-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,31-MAR-17,"SELECT ppr.runid, ppr.run_proc, ppr.run_date, ppr.run_comment,   ppr.run_owner,"
O1205727,31-MAR-17,"select * from cud.cucppi
where 1=1
and item_c like 'F_051'
and BASE_RSLT_VAL > 0"
O1205727,31-MAR-17,"select * from cud.cucppi"
O1205727,31-MAR-17,"Select CREATED, LAST_DDL_TIME, OBJECT_ID, STATUS, TIMESTAMP
FROM SYS.ALL_OBJECTS"
O1205727,31-MAR-17,"SELECT  table_name, table_owner FROM  ALL_SYNONYMS WHERE owner = 'PUBLIC' AND sy"
O1205727,31-MAR-17,"select * from cud.cucppi
where 1=1
and item_c like 'F_051'"
O1205727,31-MAR-17,"Select username from sys.ALL_USERS order by username"
O1205727,31-MAR-17,"SELECT 1
FROM   SYS.OBJ$ O, SYS.USER$ U
WHERE  0=1"
O1205727,31-MAR-17,"select sys_context('USERENV','INSTANCE_NAME') as INSTANCE_NAME,
sys_conte"
O1205727,31-MAR-17,"BEGIN   :RetVal := DBMS_UTILITY.CURRENT_INSTANCE; END;"
O1205727,31-MAR-17,"BEGIN   IF DBMS_UTILITY.IS_CLUSTER_DATABASE THEN     :RetVal := 1;   ELSE     :R"
O1205727,31-MAR-17,"Select feature from toad.toad_restrictions where user_name=USER or user_name in"
O1205727,31-MAR-17,"BEGIN
if ((QU_VERSION.major_number >= '1') and (QU_VERSION.minor_number >="
O1205727,31-MAR-17,"Select 1 FROM ALL_OBJECTS WHERE object_type = 'PACKAGE' AND object_name = 'TOAD_"
O1205727,31-MAR-17,"Select object_name
from sys.ALL_OBJECTS
where owner = 'SYS'
and   object_type ="
O1205727,31-MAR-17,"begin sys.dbms_application_info.set_module('TOAD 9.6.1.1', null); end;"
O1205727,31-MAR-17,"select /*+ RULE */ TABLE_NAME from all_tab_privs where table_name like 'DBA_%' a"
O1205727,31-MAR-17,"begin :id := sys.dbms_transaction.local_transaction_id; end;"
O1205727,31-MAR-17,"select sid from V$SESSION where audsid = USERENV('SESSIONID')"
O1205727,31-MAR-17,"Select role
from session_roles
where role in ('DBA','SELECT_CATALOG_ROLE')"
O1205727,31-MAR-17,"Select Privilege
from session_privs
where privilege in ('DEBUG CONNECT SESSION',"
O1205727,31-MAR-17,"SELECT version, sysdate FROM sys.PRODUCT_COMPONENT_VERSION WHERE UPPER(PRODUCT)"
O1205727,31-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,31-MAR-17,"select * from cud.cucppi"
O1205727,30-MAR-17,"select * from cud.cuitem"
O1205727,30-MAR-17,"declare  cursor NlsParamsCursor is    SELECT * FROM nls_session_parameters;begin"
O1205727,30-MAR-17,"select * from cud.cuitem"
O1205727,30-MAR-17,"select * from cud.cuitem"
